day_label,date,activity,type,time_1,timezone_1_label
September 28,2026-09-28,Arrivals & Check-in,break,08:30,"Time (ET)"
September 28,2026-09-28,"Welcome (Coordinator)",activity,09:00,"Time (ET)"
September 28,2026-09-28,AWS Recap (Zhibin),activity,09:30,"Time (ET)"
September 28,2026-09-28,Module 1a Lecture (Melanie Peralta),activity,10:00,"Time (ET)"
September 28,2026-09-28,Break (30min),break,11:00,"Time (ET)"
September 28,2026-09-28,Module 1b Lecture (Shamini Ayyadhury),activity,11:30,"Time (ET)"
September 28,2026-09-28,Module 2 Lecture + Demo (Shamini Ayyadhury),activity,12:30,"Time (ET)"
September 28,2026-09-28,Lunch (1h),break,13:00,"Time (ET)"
September 28,2026-09-28,Module 3 Lecture (Shamini Ayyadhury),activity,14:00,"Time (ET)"
September 28,2026-09-28,Module 3 Lab (Shamini Ayyadhury),activity,14:30,"Time (ET)"
September 28,2026-09-28,Break,break,15:00,"Time (ET)"
September 28,2026-09-28,Module 4 Lecture (Shamini Ayyadhury) + summary Day1 + overview Day2,activity,15:30,"Time (ET)"
September 28,2026-09-28,Finished,break,17:00,"Time (ET)"
September 29,2026-09-29,Arrivals,break,08:30,"Time (ET)"
September 29,2026-09-29,Module 4 LabA/B (Shamini Ayyadhury),activity,09:00,"Time (ET)"
September 29,2026-09-29,Module 4 LabA/B (Shamini Ayyadhury),activity,10:00,"Time (ET)"
September 29,2026-09-29,Break (30min),break,11:00,"Time (ET)"
September 29,2026-09-29,Module 5 Lecture (Shamini Ayyadhury),activity,11:30,"Time (ET)"
September 29,2026-09-29,Module 5 Lab (Alyona Ivanova),activity,12:00,"Time (ET)"
September 29,2026-09-29,Lunch (1h),break,13:30,"Time (ET)"
September 29,2026-09-29,Module 6 Lecture (Shamini Ayyadhury),activity,14:30,"Time (ET)"
September 29,2026-09-29,Module 6 Lab (Shamini Ayyadhury),activity,15:00,"Time (ET)"
September 29,2026-09-29,Break (30 min),break,16:30,"Time (ET)"
September 29,2026-09-29,Module 7 Putting on your thinking cap - Overview (Shamini Ayyadhury),activity,17:00,"Time (ET)"
September 29,2026-09-29,Finished,break,17:30,"Time (ET)"
September 30,2026-09-30,Arrivals,break,08:30,"Time (ET)"
September 30,2026-09-30,Module 7 Putting on your thinking cap B (Shamini Ayyadhury),activity,09:00,"Time (ET)"
September 30,2026-09-30,Module 7 Putting on your thinking cap B (Shamini Ayyadhury),activity,10:00,"Time (ET)"
September 30,2026-09-30,Break (30min),break,10:30,"Time (ET)"
September 30,2026-09-30,Module 8 Lecture (Alyona Ivanova),activity,11:00,"Time (ET)"
September 30,2026-09-30,Module 8 Lab (Alyona Ivanova),activity,11:30,"Time (ET)"
September 30,2026-09-30,Class photo + Lunch (1h),break,13:30,"Time (ET)"
September 30,2026-09-30,Module 9 Lecture (Shamini Ayyadhury),activity,14:30,"Time (ET)"
September 30,2026-09-30,Module 9 Lab (Shamini Ayyadhury),activity,15:00,"Time (ET)"
September 30,2026-09-30,Closing Remarks & Survey,activity,16:15,"Time (ET)"
September 30,2026-09-30,Finished,break,16:45,"Time (ET)"
